Date,Open,High,Low,Close,Volume
05/01/2026,"143.25","146.44","141.39","144.07","33,219,898"
04/30/2026,"138.48","140.20","136.65","139.11","32,523,580"
04/29/2026,"139.76","139.76","134.68","137.97","33,348,059"
04/28/2026,"142.30","143.85","140.42","141.18","24,757,211"
04/27/2026,"141.25","145.07","141.01","143.10","31,275,430"
04/24/2026,"142.96","143.33","138.93","143.09","38,677,160"
04/23/2026,"149.70","150.29","139.92","141.57","58,654,422"
04/22/2026,"148.36","152.68","147.41","152.62","43,701,461"
04/21/2026,"146.81","149.87","144.00","145.97","44,829,992"
04/20/2026,"145.00","147.20","143.83","145.89","33,482,672"
04/17/2026,"145.32","148.28","143.30","146.39","50,657,594"
04/16/2026,"144.29","145.55","139.53","142.76","43,746,000"
04/15/2026,"136.79","142.58","134.93","142.15","48,389,449"
04/14/2026,"134.43","138.07","134.00","135.70","52,786,832"
04/13/2026,"130.23","134.42","129.15","132.37","65,772,820"
04/10/2026,"128.48","129.20","122.68","128.06","116,656,797"
04/09/2026,"139.40","139.54","128.47","130.49","92,361,438"
04/08/2026,"154.77","156.28","139.17","140.76","64,827,660"
04/07/2026,"146.88","150.27","144.45","150.07","28,671,080"
04/06/2026,"148.36","150.61","146.63","147.93","25,142,250"
04/02/2026,"143.49","148.51","137.99","148.46","30,436,961"
04/01/2026,"147.00","148.30","144.47","146.49","34,170,992"
03/31/2026,"140.02","147.86","138.97","146.28","45,558,566"
03/30/2026,"143.27","144.12","136.30","137.55","41,289,820"
03/27/2026,"145.88","145.96","141.56","143.06","35,790,820"
03/26/2026,"153.06","153.12","147.25","147.56","43,038,434"
03/25/2026,"157.42","160.27","154.86","154.96","38,543,289"
03/24/2026,"160.07","162.40","151.64","154.78","56,155,680"
03/23/2026,"153.24","161.08","153.24","160.84","57,507,059"
03/20/2026,"155.20","156.65","149.09","150.68","48,700,191"
03/19/2026,"153.10","156.15","150.50","155.68","33,915,879"
03/18/2026,"154.95","156.69","152.61","152.77","32,476,680"
03/17/2026,"152.41","156.75","152.12","155.08","37,118,461"
03/16/2026,"152.45","153.86","151.17","152.72","32,898,949"
03/13/2026,"153.30","154.56","148.58","150.95","42,460,566"
03/12/2026,"153.01","155.88","150.98","153.50","54,409,801"
03/11/2026,"151.38","153.17","149.33","151.60","33,955,898"
03/10/2026,"155.99","156.66","150.14","151.14","47,501,391"
03/09/2026,"155.69","158.44","152.97","156.43","47,574,199"
03/06/2026,"150.44","161.45","150.29","157.16","74,980,867"
03/05/2026,"152.94","156.38","149.61","152.67","50,714,512"
03/04/2026,"148.43","154.52","148.06","153.19","60,062,168"
03/03/2026,"142.10","147.50","138.20","147.22","67,460,195"
03/02/2026,"140.78","147.14","140.52","145.17","72,683,883"
02/27/2026,"134.07","138.10","133.98","137.19","59,412,398"
02/26/2026,"133.85","137.51","132.63","135.94","45,100,008"
02/25/2026,"130.61","136.09","129.18","134.19","53,078,289"
02/24/2026,"129.01","130.24","126.37","128.84","47,121,441"
02/23/2026,"132.04","132.04","127.39","130.60","52,512,160"
02/20/2026,"132.37","136.21","131.17","135.24","53,726,809"
02/19/2026,"132.31","136.16","131.01","134.89","42,197,238"
02/18/2026,"135.89","140.96","134.87","135.38","59,677,078"
02/17/2026,"128.90","134.32","127.29","133.02","48,407,141"
02/13/2026,"127.90","133.56","126.23","131.41","49,438,047"
02/12/2026,"135.36","135.89","126.56","129.13","74,090,641"
02/11/2026,"139.03","139.25","132.95","135.68","52,796,047"
02/10/2026,"144.97","145.56","137.77","139.51","56,061,312"
02/09/2026,"136.58","145.87","134.78","142.91","58,042,461"
02/06/2026,"135.33","137.69","132.35","135.90","62,661,434"
02/05/2026,"136.82","137.98","128.32","130.01","93,690,789"
02/04/2026,"155.41","155.85","135.68","139.54","113,199,508"
02/03/2026,"165.05","165.08","153.12","157.88","113,169,203"
02/02/2026,"150.94","151.40","146.65","147.76","72,811,148"
01/30/2026,"150.05","151.00","145.14","146.59","47,271,039"
01/29/2026,"157.63","157.63","147.12","151.86","59,846,809"
01/28/2026,"164.40","165.05","157.24","157.35","44,822,848"
01/27/2026,"167.48","169.44","164.69","165.70","26,542,311"
01/26/2026,"168.21","170.59","167.33","167.47","22,777,160"
01/23/2026,"167.27","172.00","166.30","169.60","30,285,670"
01/22/2026,"168.93","169.00","164.95","165.90","28,499,471"
01/21/2026,"168.40","169.49","161.11","165.33","47,851,219"
01/20/2026,"167.63","171.97","166.24","168.53","36,708,500"
01/16/2026,"179.36","182.43","170.01","170.96","59,483,602"
01/15/2026,"178.71","180.60","176.53","177.07","31,109,180"
01/14/2026,"178.13","181.60","173.95","178.40","33,651,398"
01/13/2026,"178.88","181.10","176.14","178.96","27,769,350"
01/12/2026,"177.69","182.50","176.34","179.41","34,954,539"
01/09/2026,"177.02","178.72","174.75","177.49","31,362,891"
01/08/2026,"185.62","185.66","174.37","176.86","47,304,289"
01/07/2026,"179.80","187.28","177.66","181.68","45,349,008"
01/06/2026,"175.76","180.19","174.77","179.71","34,838,609"
01/05/2026,"174.88","175.82","171.79","174.04","39,511,688"
01/02/2026,"181.30","181.35","166.35","167.86","60,634,070"
12/31/2025,"181.13","181.53","177.25","177.75","22,997,439"
12/30/2025,"184.35","184.73","180.70","180.84","23,336,311"
12/29/2025,"186.85","187.20","183.64","184.18","28,242,000"
12/26/2025,"195.02","196.35","188.62","188.71","26,261,990"
12/24/2025,"193.16","195.17","192.83","194.17","11,710,130"
12/23/2025,"192.83","195.37","191.74","194.13","24,040,971"
12/22/2025,"195.04","198.88","192.43","193.98","36,686,039"
12/19/2025,"186.74","195.00","186.73","193.38","76,929,375"
12/18/2025,"181.51","187.33","181.51","185.69","40,221,480"
12/17/2025,"187.72","187.75","176.50","177.29","50,424,648"
12/16/2025,"181.66","188.50","181.14","187.75","42,070,273"
12/15/2025,"185.08","187.78","180.03","183.25","32,796,051"
12/12/2025,"185.81","186.53","177.67","183.57","42,427,359"
12/11/2025,"184.80","188.05","180.21","187.54","36,843,180"
12/10/2025,"184.95","190.39","182.75","187.91","59,397,969"
12/09/2025,"180.97","182.85","180.38","181.84","18,937,570"
12/08/2025,"182.21","183.88","179.54","181.49","30,456,689"
12/05/2025,"178.23","182.15","177.16","181.76","32,079,260"
12/04/2025,"176.37","178.44","174.43","177.92","29,217,789"
12/03/2025,"170.14","177.91","168.83","176.08","30,541,609"
12/02/2025,"169.59","175.75","169.59","170.69","35,367,969"
12/01/2025,"165.00","169.10","163.12","167.49","27,491,700"
11/28/2025,"167.76","168.80","165.88","168.45","17,180,300"
11/26/2025,"166.85","168.34","163.88","165.77","34,610,539"
11/25/2025,"160.07","164.65","156.56","163.55","36,523,527"
11/24/2025,"157.47","165.17","157.00","162.25","57,877,793"
11/21/2025,"156.01","158.11","147.56","154.85","71,346,359"
11/20/2025,"172.07","174.57","154.40","155.75","78,443,938"
11/19/2025,"167.80","169.60","162.42","165.42","46,108,207"
11/18/2025,"168.37","172.83","165.50","167.33","53,710,059"
11/17/2025,"170.53","174.24","167.68","171.25","50,339,031"
11/14/2025,"166.98","177.29","164.50","174.01","62,596,762"
11/13/2025,"181.72","182.70","170.73","172.14","63,188,770"
11/12/2025,"190.58","190.58","180.40","184.17","55,347,129"
11/11/2025,"190.34","192.93","187.13","190.96","49,819,719"
11/10/2025,"184.31","194.93","183.52","193.61","87,764,250"
11/07/2025,"173.15","178.70","168.91","177.93","73,989,648"
11/06/2025,"187.99","191.09","174.53","175.05","78,468,578"
11/05/2025,"189.00","190.32","181.21","187.90","76,121,039"
11/04/2025,"192.07","195.70","185.56","190.74","121,380,898"
11/03/2025,"205.05","207.52","201.82","207.18","81,016,844"
10/31/2025,"199.20","204.18","197.92","200.47","52,697,641"
10/30/2025,"198.43","199.67","194.12","194.55","43,541,719"
10/29/2025,"191.08","199.85","190.49","198.81","65,537,258"
10/28/2025,"189.48","191.78","186.78","189.60","38,201,008"
10/27/2025,"188.97","192.83","187.52","189.18","47,153,059"
10/24/2025,"182.88","186.17","182.85","184.63","34,813,461"
10/23/2025,"175.45","181.56","175.01","180.48","35,812,301"
10/22/2025,"181.93","182.21","169.42","175.49","58,263,102"
10/21/2025,"182.06","182.39","178.65","181.51","27,528,150"
10/20/2025,"179.49","183.09","177.44","181.59","31,975,850"
